fishing_event_id,year,month,day,time_deployed,time_retrieved,vessel_id,captain_id,area_swept
308795,2003,7,22,2003-07-22T08:04:00Z,2003-07-22T08:23:00Z,460,351,140298
308797,2003,7,22,2003-07-22T11:22:00Z,2003-07-22T11:41:00Z,460,351,146878
308791,2003,7,20,2003-07-20T12:52:00Z,2003-07-20T13:13:00Z,460,351,143352
308790,2003,7,20,2003-07-20T11:18:00Z,2003-07-20T11:40:00Z,460,351,143352
308789,2003,7,20,2003-07-20T08:43:00Z,2003-07-20T09:05:00Z,460,351,137560
308788,2003,7,20,2003-07-20T06:52:00Z,2003-07-20T07:13:00Z,460,351,140456
308787,2003,7,19,2003-07-19T17:34:00Z,2003-07-19T17:55:00Z,460,351,133940
308786,2003,7,19,2003-07-19T14:47:00Z,2003-07-19T15:06:00Z,460,351,130320.00000000001
308804,2003,7,22,2003-07-22T19:59:00Z,2003-07-22T20:20:00Z,460,351,131688
308805,2003,7,23,2003-07-23T06:10:00Z,2003-07-23T06:31:00Z,460,351,132120
308806,2003,7,23,2003-07-23T08:16:00Z,2003-07-23T08:37:00Z,460,351,146097
308807,2003,7,23,2003-07-23T09:43:00Z,2003-07-23T10:07:00Z,460,351,128180.00000000001
308785,2003,7,19,2003-07-19T11:28:00Z,2003-07-19T11:47:00Z,460,351,151316
308784,2003,7,19,2003-07-19T10:24:00Z,2003-07-19T10:45:00Z,460,351,158556
308760,2003,7,15,2003-07-15T12:02:00Z,2003-07-15T12:22:00Z,460,351,124269.99999999999
308766,2003,7,15,2003-07-15T20:54:00Z,2003-07-15T21:13:00Z,460,351,143416
308812,2003,7,23,2003-07-23T17:55:00Z,2003-07-23T18:17:00Z,460,351,144207
308813,2003,7,23,2003-07-23T19:06:00Z,2003-07-23T19:25:00Z,460,351,149352
308814,2003,7,23,2003-07-23T20:08:00Z,2003-07-23T20:27:00Z,460,351,149144
308815,2003,7,24,2003-07-24T06:22:00Z,2003-07-24T06:43:00Z,460,351,124168
308754,2003,7,14,2003-07-14T17:52:00Z,2003-07-14T18:12:00Z,460,351,106386.00000000001
308753,2003,7,14,2003-07-14T16:50:00Z,2003-07-14T17:10:00Z,460,351,148137
308752,2003,7,14,2003-07-14T14:00:00Z,2003-07-14T14:20:00Z,460,351,149422
308751,2003,7,14,2003-07-14T11:54:00Z,2003-07-14T12:15:00Z,460,351,117936
308749,2003,7,14,2003-07-14T07:53:00Z,2003-07-14T08:14:00Z,460,351,127982.00000000001
308798,2003,7,22,2003-07-22T12:50:00Z,2003-07-22T13:10:00Z,460,351,135412
308771,2003,7,17,2003-07-17T20:28:00Z,2003-07-17T20:50:00Z,460,351,143352
308772,2003,7,18,2003-07-18T06:10:00Z,2003-07-18T06:31:00Z,460,351,158112
308773,2003,7,18,2003-07-18T07:10:00Z,2003-07-18T07:30:00Z,460,351,147798
308774,2003,7,18,2003-07-18T08:38:00Z,2003-07-18T08:58:00Z,460,351,145848
308775,2003,7,18,2003-07-18T09:34:00Z,2003-07-18T09:54:00Z,460,351,166334
308777,2003,7,18,2003-07-18T11:36:00Z,2003-07-18T11:56:00Z,460,351,176280
308778,2003,7,18,2003-07-18T13:02:00Z,2003-07-18T13:23:00Z,460,351,154889
308779,2003,7,18,2003-07-18T14:30:00Z,2003-07-18T14:53:00Z,460,351,154775
308780,2003,7,18,2003-07-18T17:06:00Z,2003-07-18T17:24:00Z,460,351,134442
308781,2003,7,19,2003-07-19T06:16:00Z,2003-07-19T06:36:00Z,460,351,136836
308782,2003,7,19,2003-07-19T07:57:00Z,2003-07-19T08:17:00Z,460,351,144800
308783,2003,7,19,2003-07-19T09:14:00Z,2003-07-19T09:32:00Z,460,351,139008
308816,2003,7,24,2003-07-24T07:24:00Z,2003-07-24T07:44:00Z,460,351,132825
308817,2003,7,24,2003-07-24T09:23:00Z,2003-07-24T09:42:00Z,460,351,145140
308799,2003,7,22,2003-07-22T14:05:00Z,2003-07-22T14:23:00Z,460,351,132066
308800,2003,7,22,2003-07-22T15:34:00Z,2003-07-22T15:54:00Z,460,351,132795
308801,2003,7,22,2003-07-22T16:46:00Z,2003-07-22T17:06:00Z,460,351,135037
308802,2003,7,22,2003-07-22T17:58:00Z,2003-07-22T18:18:00Z,460,351,148122
308803,2003,7,22,2003-07-22T18:44:00Z,2003-07-22T19:05:00Z,460,351,121410
308808,2003,7,23,2003-07-23T11:29:00Z,2003-07-23T11:51:00Z,460,351,140988
308809,2003,7,23,2003-07-23T13:26:00Z,2003-07-23T13:47:00Z,460,351,128250
308825,2003,7,25,2003-07-25T06:32:00Z,2003-07-25T06:51:00Z,460,351,125975.99999999999
308810,2003,7,23,2003-07-23T15:12:00Z,2003-07-23T15:33:00Z,460,351,138866
308755,2003,7,14,2003-07-14T19:12:00Z,2003-07-14T19:33:00Z,460,351,139239
308757,2003,7,15,2003-07-15T08:38:00Z,2003-07-15T09:01:00Z,460,351,146600
308758,2003,7,15,2003-07-15T09:41:00Z,2003-07-15T10:01:00Z,460,351,134680
308759,2003,7,15,2003-07-15T10:37:00Z,2003-07-15T10:59:00Z,460,351,123717.00000000001
308811,2003,7,23,2003-07-23T16:41:00Z,2003-07-23T17:02:00Z,460,351,145728
308761,2003,7,15,2003-07-15T13:19:00Z,2003-07-15T13:42:00Z,460,351,120840
308721,2003,7,9,2003-07-09T16:18:00Z,2003-07-09T16:34:00Z,460,351,149548
308722,2003,7,9,2003-07-09T18:01:00Z,2003-07-09T18:18:00Z,460,351,146124
308723,2003,7,9,2003-07-09T19:41:00Z,2003-07-09T20:00:00Z,460,351,132209
308724,2003,7,9,2003-07-09T20:47:00Z,2003-07-09T21:06:00Z,460,351,116112
